      tokens,        wires,    subscribers,  subscriptions,                       username,     verified
           0,            0,            141,             53,                         Sternz,            0
           0,            0,            141,             43,                         Jner77,            0
           0,            0,            141,             28,                         Nam_72,            0
           0,            0,            141,             19,                     robertimay,            0
           0,            0,            141,             17,                         fogmin,            0
           0,            0,            141,              6,                  Mighty_Beaver,            0
           0,            0,            140,             91,                     Hanumanrkb,            0
           0,            0,            140,             78,                   Hisoka_Phong,            0
           0,            0,            140,             69,                      MrMonster,            0
           0,            0,            140,             63,                      Sonny1776,            0
           0,            0,            140,             44,             power_2_the_people,            0
           0,            0,            140,             34,                    linhannhien,            0
           0,            0,            140,             25,                    MattVSawyer,            0
           0,            0,            140,              8,                         sjason,            0
           0,            0,            140,              7,                         Borrie,            0
           0,            0,            139,            149,                    DevilsDevil,            0
           0,            0,            139,            105,                       JhonVent,            0
           0,            0,            139,             59,                   levantan1704,            0
           0,            0,            139,             27,                      acald3ron,            0
           0,            0,            139,             18,                  DistantSignal,            0
           0,            0,            139,              8,                   Domonization,            0
           0,            0,            139,              4,                     LuuKhaiAnh,            0
           0,            0,            138,            135,                         Arby23,            0
           0,            0,            138,             41,               Minhhieutran1965,            0
           0,            0,            138,             30,                     Batman2012,            0
           0,            0,            138,              9,                  TheDinoSir907,            0
           0,            0,            137,             92,                         Keolac,            0
           0,            0,            137,             46,    sometimescrazysometimescool,            0
           0,            0,            137,             44,                         vanraz,            0
           0,            0,            137,             14,                 ThinkingMan_EU,            0
           0,            0,            136,             79,                 ExowarriorDark,            0
           0,            0,            136,             27,                    Liberty2018,            0
           0,            0,            136,             24,                      Huynh_Duc,            0
           0,            0,            136,              9,                         Nihbru,            0
           0,            0,            135,            233,            Illumination_Grotto,            0
           0,            0,            135,            148,                      Vuphong90,            0
           0,            0,            135,             47,                      Illustr8r,            0
           0,            0,            135,             32,                       callen13,            0
           0,            0,            135,             30,                   AdonisWaking,            0
           0,            0,            135,             26,                    Buituandiep,            0
           0,            0,            135,             15,                        KiwiRoo,            0
           0,            0,            134,            138,                        Dkillen,            0
           0,            0,            134,             87,                      bubbletea,            0
           0,            0,            134,             82,                    SrPesBorges,            0
           0,            0,            134,             60,                      Bunhinrom,            0
           0,            0,            134,             40,                    Markcapital,            0
           0,            0,            134,             15,                       Duper777,            0
           0,            0,            134,              6,                    nguyentusac,            0
           0,            0,            134,              4,                     FAITH4HOPE,            0
           0,            0,            133,            114,                       Paradigm,            0
           0,            0,            133,             65,                        GiaoNgo,            0
           0,            0,            133,             29,                   RockStar1301,            0
           0,            0,            133,             25,                         Phulam,            0
           0,            0,            133,             13,                    SilverSnail,            0
           0,            0,            133,             12,               ThomasAllen37725,            0
           0,            0,            132,            224,                        getonid,            0
           0,            0,            132,            154,                        EgoDust,            0
           0,            0,            132,             78,                      korynoble,            0
           0,            0,            132,             33,                      Lequynhky,            0
           0,            0,            132,             22,                      seasailor,            0
           0,            0,            132,             18,                        BambiLe,            0
           0,            0,            132,             16,                     DeathDrums,            0
           0,            0,            132,              9,                    redpillnews,            0
           0,            0,            131,             96,                           VTBX,            0
           0,            0,            131,             88,                       junivers,            0
           0,            0,            131,             31,                        Quynh18,            0
           0,            0,            131,             30,                         UnkleB,            0
           0,            0,            131,             19,                  Robertearlray,            0
           0,            0,            130,            191,                        DANGTHI,            0
           0,            0,            130,             60,                     krishnabbs,            0
           0,            0,            130,             60,                       timofthe,            0
           0,            0,            130,             57,                   LowkeyLifted,            0
           0,            0,            130,             37,                    cicilee1614,            0
           0,            0,            130,             34,                    mdhawthorne,            0
           0,            0,            130,             17,                    D4RkM4CH1N3,            0
           0,            0,            129,            119,                    Haerycammel,            0
           0,            0,            129,            108,                     DucHuyTran,            0
           0,            0,            129,             69,                     papahooser,            0
           0,            0,            129,             55,                   thaoano11998,            0
           0,            0,            129,             46,                      Flomotion,            0
           0,            0,            129,             28,                       Kylin370,            0
           0,            0,            129,             22,                         HugoLB,            0
           0,            0,            129,             17,                      thanhuyen,            0
           0,            0,            129,              9,                    Tellico1776,            0
           0,            0,            128,            264,                   BillAnderson,            0
           0,            0,            128,            174,                      capheViet,            0
           0,            0,            128,            133,                      breadmoth,            0
           0,            0,            128,             97,            CommonxWriterxQuill,            0
           0,            0,            128,             45,                         Raseac,            0
           0,            0,            128,             44,                     romanrozin,            0
           0,            0,            128,             40,                       blat1982,            0
           0,            0,            128,             26,                     Tishojimbo,            0
           0,            0,            127,             72,                         Pauwel,            0
           0,            0,            127,             58,                      DavidJrLe,            0
           0,            0,            127,             25,                         RevKXB,            0
           0,            0,            127,             21,                   ishmaeknight,            0
           0,            0,            127,             17,                   AmberTerneus,            0
           0,            0,            127,             16,                  HellRaiser100,            0
           0,            0,            127,             11,                        Loftyg3,            0
           0,            0,            126,             70,                     brucemega2,            0
           0,            0,            126,             68,                    Hillbillies,            0
           0,            0,            126,             37,                   TheHammer818,            0
           0,            0,            126,             33,                     Carolinian,            0
           0,            0,            126,             32,                       Chau2011,            0
           0,            0,            126,             30,                     ArvisLiepa,            0
           0,            0,            126,             27,                 LibertyPhoenix,            0
           0,            0,            126,             24,                  OccamsStubble,            0
           0,            0,            126,             23,                         jibbaj,            0
           0,            0,            126,             15,              satans_weedwacker,            0
           0,            0,            126,              8,                  The21stRaider,            0
           0,            0,            125,            127,                     josuecurty,            0
           0,            0,            125,            107,                   nguyenchitam,            0
           0,            0,            125,             82,                     theCSA_net,            0
           0,            0,            125,             23,            LonesomeOnryandMean,            0
           0,            0,            125,             19,                         huydra,            0
           0,            0,            124,            121,                      trwiegand,            1
           0,            0,            124,            102,                         647300,            0
           0,            0,            124,             43,                        Drake96,            0
           0,            0,            124,             24,                    SexyGirls69,            0
           0,            0,            124,             15,                 timeforachange,            0
           0,            0,            123,            134,                    VoiceOfMing,            0
           0,            0,            123,             50,                  rockbarcellos,            0
           0,            0,            123,             43,                      DalilaMud,            0
           0,            0,            123,              8,                   tristanscott,            0
           0,            0,            122,             96,                        MelPhan,            0
           0,            0,            122,             83,                       Thuc1012,            0
           0,            0,            122,             41,                        Linyboo,            0
           0,            0,            122,             22,                    SpergNation,            0
           0,            0,            122,             16,                   Davidkin2005,            0
           0,            0,            121,             48,                       JoeStark,            0
           0,            0,            121,             43,                thisweekinhuman,            0
           0,            0,            121,             18,              Christopher_Bujol,            0
           0,            0,            121,             13,                 Fredy_The_Yeti,            0
           0,            0,            121,              8,                     DPSans1337,            0
           0,            0,            121,              2,                  Unlimitedlife,            0
           0,            0,            120,            143,                      spike5022,            0
           0,            0,            120,            131,                     Fatman1369,            0
           0,            0,            120,            110,            Rebel_Shadow_Vortex,            0
           0,            0,            120,             56,                         420200,            0
           0,            0,            120,             39,              TaxedEnuffAlready,            0
           0,            0,            120,             22,                  Schrodinger88,            0
           0,            0,            120,             15,                  Justindickson,            0
           0,            0,            120,             11,                    ThanhCaTuDo,            0
           0,            0,            120,              4,                     Gallstones,            0
           0,            0,            120,              3,                     Immortal_M,            0
           0,            0,            120,              3,                      Hoang1975,            0
           0,            0,            119,             66,                   toannguyengu,            0
           0,            0,            119,             51,               punkconservative,            0
           0,            0,            119,             26,                       Cannor49,            0
           0,            0,            119,             17,                    Lienhoa2016,            0
           0,            0,            119,             12,               AlternateCurrent,            0
           0,            0,            119,              8,                  Lovechocolate,            0
           0,            0,            119,              2,                         ajhoge,            0
           0,            0,            118,             96,                     Theonelion,            0
           0,            0,            118,             73,                   dragonman404,            0
           0,            0,            118,             50,                   DinhNghiaNgo,            0
           0,            0,            118,             45,                        Doyentu,            0
           0,            0,            118,             34,                     Bradkesniv,            0
           0,            0,            118,             30,                        MBotter,            0
           0,            0,            118,             23,                     BryanWells,            0
           0,            0,            118,             22,                          VBDog,            0
           0,            0,            118,              7,                  _UnknownMale_,            0
           0,            0,            118,              6,                 Guilhermediniz,            0
           0,            0,            118,              5,                    andreotsuka,            0
           0,            0,            117,             99,                         Bart23,            0
           0,            0,            117,             19,                       Valereth,            0
           0,            0,            117,             10,                  TaraLaRosaMMA,            0
           0,            0,            117,              7,                 GrouchoMarxist,            0
           0,            0,            116,            140,                        Stranok,            0
           0,            0,            116,             24,                    baonguyen01,            0
           0,            0,            116,             14,                   Chicktrainer,            0
           0,            0,            116,             14,                      amazn1111,            0
           0,            0,            116,             13,            SiliconConservative,            0
           0,            0,            116,             10,              perplexedthirdeye,            0
           0,            0,            116,              9,                       kvestrum,            0
           0,            0,            116,              8,                      Capinclaw,            0
           0,            0,            115,             56,               eLProcrastinator,            0
           0,            0,            115,             31,                   changeweneed,            0
           0,            0,            115,             30,                       KingVego,            0
           0,            0,            115,             15,                     centinel20,            0
           0,            0,            115,             13,                  LordOfLiberty,            0
           0,            0,            114,             86,                       davesbit,            0
           0,            0,            114,             75,                       hoamii70,            0
           0,            0,            114,             45,                         HoHung,            0
           0,            0,            114,             28,            somekindofwonderful,            0
           0,            0,            114,             20,                   _therealmarc,            0
           0,            0,            114,             14,                       TheGenie,            0
           0,            0,            114,             13,                     BrokenFang,            0
           0,            0,            114,             12,                      2DSinatra,            0
           0,            0,            114,              8,                       bluemage,            0
           0,            0,            114,              6,                    ChrisKopera,            0
           0,            0,            113,            189,                         mindse,            0
           0,            0,            113,            187,                          Twido,            0
           0,            0,            113,            101,                       MisoMann,            0
           0,            0,            113,             56,                           cota,            0
           0,            0,            113,             55,                   voodingtruck,            0
           0,            0,            113,             48,                        vet2782,            0
           0,            0,            113,             47,                  Viettannguyen,            0
           0,            0,            113,             41,                     Chris2theJ,            0
           0,            0,            113,             35,                    TranMinhLoc,            0
           0,            0,            113,             26,                         djslyd,            0
           0,            0,            113,             18,                       FalseTea,            0
           0,            0,            113,             15,               Nate_The_Atheist,            0
           0,            0,            113,              7,                     dompham207,            0
           0,            0,            113,              5,                       Mirjanin,            0
           0,            0,            112,            105,                       JRaleigh,            0
           0,            0,            112,             79,                          ginov,            0
           0,            0,            112,             75,                     AnonTegula,            0
           0,            0,            112,             74,               NguyenThanhQuang,            0
           0,            0,            112,             37,                      cbarryson,            0
           0,            0,            112,             35,                 Hoxuansinguyen,            0
           0,            0,            112,             29,                    rexdelawder,            0
           0,            0,            112,             26,                    Baskerville,            0
           0,            0,            112,             19,                  FreeAmericaTV,            0
           0,            0,            112,             18,                  Alexander2017,            0
           0,            0,            112,             17,                         Nakiel,            0
           0,            0,            112,             12,               Openlyflatminded,            0
           0,            0,            112,             12,                  Letstalktruth,            0
           0,            0,            112,             12,                        WoWolff,            0
           0,            0,            112,             10,                  NGUYENVANHOAN,            0
           0,            0,            112,             10,                     onhannoita,            0
           0,            0,            112,              6,                     ratismendi,            0
           0,            0,            112,              5,         carltonoakes@gmail.com,            0
           0,            0,            111,             47,                       Raystar7,            0
           0,            0,            111,             12,                         TomLam,            0
           0,            0,            111,              7,                      Clarahong,            0
           0,            0,            111,              6,                 The_Phoenix_86,            0
           0,            0,            110,             13,            AmateurStatistician,            0
           0,            0,            110,             13,                     Krolik1519,            0
           0,            0,            110,             10,                YoungC0ntrarian,            0
           0,            0,            110,              9,                    duchoanvn01,            0
           0,            0,            110,              9,                      keithswan,            0
           0,            0,            109,             96,                         Voight,            0
           0,            0,            109,             33,                         Marksw,            0
           0,            0,            109,             30,                            Czy,            0
           0,            0,            109,             12,                    KieronBooth,            0
           0,            0,            109,             10,                         SGreer,            0
           0,            0,            109,              6,                      damjan_gj,            0
           0,            0,            108,            836,                      purplemer,            0
           0,            0,            108,             83,                         Taiden,            0
           0,            0,            108,             75,                   JohnRandolph,            0
           0,            0,            108,             69,                          Qmass,            0
           0,            0,            108,             28,                         Sarens,            0
           0,            0,            108,             20,                 JacksonCollins,            0
           0,            0,            108,             13,               PatrickKruzinski,            0
           0,            0,            108,             10,                     nediaks_gm,            0
           0,            0,            108,              9,                       kauhamas,            0
           0,            0,            108,              4,                         Gildty,            0
           0,            0,            107,            101,                   BrewManGroup,            0
           0,            0,            107,             29,                        LeThinh,            0
           0,            0,            107,             23,                       Simonbob,            0
           0,            0,            107,             19,                          JPEDM,            0
           0,            0,            107,             17,                  Unceremonious,            0
           0,            0,            107,             15,                    Joshcburns2,            0
           0,            0,            107,             14,                        JacobsC,            0
           0,            0,            107,             11,                        Scopgie,            0
           0,            0,            107,              8,                         Lee101,            0
           0,            0,            107,              2,                   MichaelofGod,            0
           0,            0,            106,             78,                          Binby,            0
           0,            0,            106,             55,                 Captainnapalm6,            0
           0,            0,            106,             49,                       Tuanryan,            0
           0,            0,            106,             43,                          Olley,            0
           0,            0,            106,             38,                        Uyenbeo,            0
           0,            0,            106,             22,                  swaggadocious,            0
           0,            0,            106,             11,                     Citizen360,            0
           0,            0,            106,              5,                     Hoopes4908,            0
           0,            0,            105,             98,                      StarIight,            0
           0,            0,            105,             88,                A_Man_In_Yellow,            0
           0,            0,            105,             48,              kornelija.koneska,            0
           0,            0,            105,             39,                      HuyVo1985,            0
           0,            0,            105,             39,                          advnd,            0
           0,            0,            105,             36,                    Pauldeeeeee,            0
           0,            0,            105,             27,                 The_Mad_Pirate,            0
           0,            0,            105,             27,                    Billybob662,            0
           0,            0,            105,             26,                         ABEND2,            0
           0,            0,            105,             17,                     Linorosado,            0
           0,            0,            105,             10,                   Redpilledguy,            0
           0,            0,            104,             88,                LuxIronwoodMoon,            0
           0,            0,            104,             44,               KeksiusKekenberg,            0
           0,            0,            104,             33,                   MinhNguyen68,            0
           0,            0,            104,              5,                   FrostyKnight,            0
           0,            0,            103,            104,                    Stingrayjim,            0
           0,            0,            103,             86,                      Duong2018,            0
           0,            0,            103,             63,                   Sarahlivesey,            0
           0,            0,            103,             39,                      Master123,            0
           0,            0,            103,             20,                     AlanBroski,            0
           0,            0,            103,             11,              nguyenhailong1986,            0
           0,            0,            103,              6,                     johnscarpa,            0
           0,            0,            103,              2,                       enzymion,            0
           0,            0,            102,             59,                   BEaLeBernson,            0
           0,            0,            102,             51,                           Zoll,            0
           0,            0,            102,             47,                        Hydzung,            0
           0,            0,            102,             20,                         myopic,            0
           0,            0,            102,             18,                     EricBenton,            0
           0,            0,            102,              7,                           ttom,            0
           0,            0,            101,            102,                    archstant0n,            0
           0,            0,            101,             76,                      attoslins,            0
           0,            0,            101,             58,                           Harp,            0
           0,            0,            101,             54,                 SovereignAngel,            0
           0,            0,            101,             45,                       dungenti,            0
           0,            0,            101,             39,                    Proofoflife,            0
           0,            0,            101,             37,                     binhthai79,            0
           0,            0,            101,             27,                        Danno_B,            0
           0,            0,            101,             16,                       ghost0x0,            0
           0,            0,            100,             97,                        Daezohn,            0
           0,            0,            100,             74,                       Ruprecht,            0
           0,            0,            100,             70,                 Apenny4URDimez,            0
           0,            0,            100,             51,                     Chris_King,            0
           0,            0,            100,             43,                  Spiritbuffalo,            0
           0,            0,            100,             28,                       LamChanh,            0
           0,            0,            100,             18,                KipYellowjacket,            0
           0,            0,            100,             18,                        khangnt,            0
           0,            0,            100,             11,                     Gimiltinks,            0
           0,            0,            100,             11,                      CanTu1724,            0
           0,            0,            100,              9,                         brad76,            0
           0,            0,             99,             88,                  bryceeickholt,            0
           0,            0,             99,             69,                  Club101Dayton,            0
           0,            0,             99,             51,                         TAIHEN,            0
           0,            0,             99,             48,                     tuyenhoang,            0
           0,            0,             99,             47,                       22calgal,            0
           0,            0,             99,             44,                    Vunhatquang,            0
           0,            0,             99,             16,                   AmethystRose,            0
           0,            0,             99,             12,                   DieuDinhKiem,            0
           0,            0,             99,             10,                    Steveo54321,            0
           0,            0,             99,              9,                    Jump_Hazard,            0
           0,            0,             99,              9,                     Dysternaut,            0
           0,            0,             99,              8,                   Davesnothere,            0
           0,            0,             99,              6,                  dreamofcloudz,            0
           0,            0,             99,              1,            Britannica_Industry,            0
           0,            0,             98,             66,                        wolfs89,            0
           0,            0,             98,             20,                        dohuyvu,            0
           0,            0,             98,             18,                    Psicomaquia,            0
           0,            0,             98,             11,                        rmtorig,            0
           0,            0,             98,             10,                         JANAPE,            0
           0,            0,             98,              6,                  Strouseypants,            0
           0,            0,             98,              6,                     Oneguy5000,            0
           0,            0,             97,            112,               HagarTheForsaken,            0
           0,            0,             97,             69,                    hoangmydung,            0
           0,            0,             97,             57,                        lacviet,            0
           0,            0,             97,             42,                 MentalDisorder,            0
           0,            0,             97,             42,                      shanerino,            0
           0,            0,             97,             40,                     xstalchild,            0
           0,            0,             97,             38,                        HongNTT,            0
           0,            0,             97,             36,                   Linhphan1974,            0
           0,            0,             97,             33,                      Voduynhay,            0
           0,            0,             97,             11,                      4yourface,            0
           0,            0,             97,              9,                 Alex_Hoang3185,            0
           0,            0,             97,              8,                         ashpac,            0
           0,            0,             97,              7,                        DieuKim,            0
           0,            0,             96,             94,                         Snabel,            0
           0,            0,             96,             41,                      angerbach,            0
           0,            0,             96,             29,                   HernanCortez,            0
           0,            0,             96,             21,                       Az33kial,            0
           0,            0,             96,             21,                       Anvil114,            0
           0,            0,             96,             17,                    StevenBeest,            0
           0,            0,             96,             17,                     Mystwalker,            0
           0,            0,             96,             17,                     Cornmuffin,            0
           0,            0,             96,             11,                         Awsxdr,            0
           0,            0,             96,              8,                      MaxWaldes,            0
           0,            0,             96,              7,                 marcus_lporter,            0
           0,            0,             95,             88,                       Tahlreth,            0
           0,            0,             95,             58,                           Tyle,            0
           0,            0,             95,             39,                      MrOwnlife,            0
           0,            0,             95,             34,                   Jamie_Cripps,            0
           0,            0,             95,             28,                       josh0324,            0
           0,            0,             95,             27,            SystembusterTheresa,            0
           0,            0,             95,             26,                  hoangtulai777,            0
           0,            0,             95,             25,                    spaceman888,            0
           0,            0,             95,             14,                 justinvagabond,            0
           0,            0,             95,             11,                        Robware,            0
           0,            0,             95,             11,                         Cardxu,            0
           0,            0,             95,              9,                       dopunaga,            0
           0,            0,             95,              7,                     VioletDusk,            0
           0,            0,             95,              7,                     Tw3akurb0x,            0
           0,            0,             95,              2,              Gardenofecommerce,            0
           0,            0,             95,              2,                    Redbullnoir,            0
           0,            0,             94,             82,                   NguyenDucMan,            0
           0,            0,             94,             57,               LibertarianToday,            0
           0,            0,             94,             52,                       ancaprob,            0
           0,            0,             94,             36,                     shazbest62,            0
           0,            0,             94,             31,                      Tomek1986,            0
           0,            0,             94,             28,                     HoodSavior,            0
           0,            0,             94,             26,                       DaniWise,            0
           0,            0,             94,             14,                      ndhonghai,            0
           0,            0,             94,              8,                      StarKilla,            0
           0,            0,             94,              7,                     Eyeeatclay,            0
           0,            0,             94,              7,                       gjsd2001,            0
           0,            0,             94,              4,          ACanadianConservative,            0
           0,            0,             94,              2,                      Vicent259,            0
           0,            0,             93,            105,                PlanchadePiedra,            0
           0,            0,             93,             64,                        Trip779,            0
           0,            0,             93,             61,                          Throw,            0
           0,            0,             93,             52,                      RicZeDuck,            0
           0,            0,             93,             32,                      EVPWiggin,            0
           0,            0,             93,             15,                     hoanganten,            0
           0,            0,             93,             12,                Mailorderpirate,            0
           0,            0,             93,             11,                  StephenCoates,            0
           0,            0,             93,             10,                 ReluctantNomad,            0
           0,            0,             93,              7,              christopherforman,            0
           0,            0,             93,              5,                slownlow25specv,            0
           0,            0,             93,              4,                       madhuinc,            0
           0,            0,             92,            170,                    danielpinto,            0
           0,            0,             92,            105,                    NathanTHall,            0
           0,            0,             92,            100,                      sltycraka,            0
           0,            0,             92,            100,                       Echtocdo,            0
           0,            0,             92,             94,                    anything011,            0
           0,            0,             92,             45,                    lordfirefox,            0
           0,            0,             92,             38,                         Din366,            0
           0,            0,             92,             37,                 Nate_the_Great,            1
           0,            0,             92,             22,                     vintuitive,            0
           0,            0,             92,             18,               PeterTheDutchman,            0
           0,            0,             92,             11,                      Wightrash,            0
           0,            0,             92,              9,                 SteveMcQueen85,            0
           0,            0,             92,              1,           Ivegotballsofsteel69,            0
           0,            0,             91,             35,                   jeremystroud,            0
           0,            0,             91,             28,                     55CrownVic,            0
           0,            0,             91,             14,                       laustral,            0
           0,            0,             91,             10,                         koltci,            0
           0,            0,             91,              8,               Bluemoondreamer1,            0
           0,            0,             91,              8,                        jimbetz,            0
           0,            0,             91,              5,                       temperne,            0
           0,            0,             91,              4,                  TheMascotArmy,            0
           0,            0,             90,             64,                    TepbianKord,            0
           0,            0,             90,             47,                    IncognitoFX,            0
           0,            0,             90,             26,                    Nightingail,            0
           0,            0,             90,             15,             tommytravelsdotfun,            0
           0,            0,             90,              9,                        kkayerd,            0
           0,            0,             90,              5,              PositiveDiscourse,            0
           0,            0,             90,              4,                   RaulGonzalez,            0
